Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Neuquén,LOS LAGOS,1,20,15502
Santiago del Estero,BELGRANO,1,20,10809
Córdoba,SOBREMONTE,0,20,4381
La Pampa,GUATRACHE,5,19,9397
La Pampa,LOVENTUE,3,19,9243
Neuquén,ÑORQUIN,2,19,5572
Buenos Aires,PELLEGRINI,1,19,7112
Salta,CAFAYATE,1,19,17822
La Pampa,QUEMU QUEMU,4,18,8404
Chubut,SARMIENTO,1,18,14477
Neuquén,PICUNCHES,1,18,8471
Jujuy,RINCONADA,0,18,1797
Río Negro,EL CUY,2,17,6960
Salta,LA CALDERA,2,17,12246
La Rioja,SAN BLAS DE LOS SAUCES,1,17,4306
Neuquén,LONCOPUE,1,17,7696
Río Negro,9 DE JULIO,0,17,3682
La Pampa,HUCAL,4,16,7713
La Rioja,CASTRO BARROS,4,16,5810
La Pampa,TOAY,1,16,17927
Buenos Aires,SALLIQUELO,0,16,9344
Chaco,TAPENAGA,0,16,4051
Río Negro,CONESA,1,15,7398
Santa Cruz,CORPEN AIKE,0,15,15035
La Pampa,CATRILO,3,14,8225
Río Negro,VALCHETA,1,14,4300
Salta,LOS ANDES,1,14,7182
Jujuy,VALLE GRANDE,0,14,2490
Chubut,TEHUELCHES,2,13,5947
Buenos Aires,MONTE HERMOSO,1,13,8444
Neuquén,CATAN LIL,1,13,2641
La Rioja,INDEPENDENCIA,0,13,2399
Salta,GUACHIPAS,0,13,3491
Santiago del Estero,MITRE,0,13,1440
La Pampa,TRENEL,2,12,5637
Río Negro,ÑORQUINCO,2,12,1452
San Juan,9 DE JULIO,1,12,12498
Santa Cruz,LAGO BUENOS AIRES,1,12,12584
Salta,LA CANDELARIA,2,11,7182
Buenos Aires,TORDILLO,1,11,2528
Chubut,LANGUIÑEO,1,11,2862
Salta,LA POMA,1,11,1789
Catamarca,ANTOFAGASTA DE LA SIERRA,0,11,1822
Salta,LA VIÑA,0,11,8888
Neuquén,COLLON CURA,1,10,4832
Neuquén,PICUN LEUFU,1,10,5087
Chubut,GASTRE,0,10,1181
Santa Cruz,RIO CHICO,2,9,6271
Corrientes,BERON DE ASTRADA,0,9,2808
La Rioja,VINCHINA,0,9,2695
Chubut,TELSEN,2,8,1608
Jujuy,SAN ANTONIO,1,8,6729
Santa Cruz,MAGALLANES,0,8,12828
Tierra del Fuego,TOLHUIN,0,8,6027
Chubut,PASO DE INDIOS,0,7,1882
La Pampa,CHICAL CO,0,7,1461
San Juan,ULLUM,1,6,6454
San Juan,ZONDA,1,6,6674
La Pampa,CURACO,0,6,1103
La Rioja,GENERAL LAMADRID,0,6,1885
La Pampa,CHALILEO,0,5,2868
La Pampa,CALEU CALEU,1,4,2611
Chubut,FLORENTINO AMEGHINO,0,4,1782
La Pampa,LIMAY MAHUIDA,0,4,413
La Pampa,LIHUEL CALEL,1,3,428
La Rioja,SANAGASTA,1,3,2994
Chubut,MARTIRES,0,3,744
